event_type,customer_id,calendar_time,profit,loss,net_profit,cumulative_net_profit
customer_arrival,1,19.727635145993098,0.0,-0.39455270291986194,-0.39455270291986194,-0.39455270291986194
survival,1,41.53466770467047,0.5065727935502536,0.0,0.5065727935502536,0.1120200906303917
customer_arrival,2,41.92660646425738,0.0,-0.007838775191738336,-0.007838775191738336,0.10418131543865336
survival,2,49.5197583972694,0.4979000533837814,0.0,0.4979000533837814,0.6020813688224348
customer_arrival,3,59.542485363278516,0.0,-0.20045453932018234,-0.20045453932018234,0.4016268295022525
survival,3,86.25158186211078,0.874242728106526,0.0,0.874242728106526,1.2758695576087784
customer_arrival,4,111.71338536877255,0.0,-0.5092360701332352,-0.5092360701332352,0.7666334874755432
failure,4,123.31433910971747,0.30864773332210604,-2.25,-1.941352266677894,-1.1747187792023508
customer_arrival,5,126.26758961349799,0.0,-0.059065010075610394,-0.059065010075610394,-1.2337837892779613
survival,5,132.52607241076174,0.5001230674983789,0.0,0.5001230674983789,-0.7336607217795824
customer_arrival,6,135.11617275174547,0.0,-0.051802006819674416,-0.051802006819674416,-0.7854627285992568
survival,6,145.93666044528905,0.8949251204931536,0.0,0.8949251204931536,0.10946239189389684
customer_arrival,7,147.0736659416453,0.0,-0.022740109927124753,-0.022740109927124753,0.08672228196677209
survival,7,163.40744985274696,0.7144874809280148,0.0,0.7144874809280148,0.801209762894787
customer_arrival,8,163.4550883863832,0.0,-0.0009527706727247211,-0.0009527706727247211,0.8002569922220623
survival,8,187.6358199850832,0.5166731483605664,0.0,0.5166731483605664,1.3169301405826288
customer_arrival,9,189.70323159660157,0.0,-0.04134823223036742,-0.04134823223036742,1.2755819083522615
survival,9,202.96501233229375,0.46403308575779156,0.0,0.46403308575779156,1.739614994110053
customer_arrival,10,211.6885637015149,0.0,-0.17447102738442283,-0.17447102738442283,1.5651439667256302
survival,10,212.90458663027383,0.5389361218763,0.0,0.5389361218763,2.10408008860193
customer_arrival,11,215.18200648486632,0.0,-0.045548397091849824,-0.045548397091849824,2.05853169151008
survival,11,231.89511353524276,0.7287738161780193,0.0,0.7287738161780193,2.7873055076880995
customer_arrival,12,233.00790156350192,0.0,-0.022255760565183077,-0.022255760565183077,2.7650497471229163
survival,12,243.9129487907941,0.4109119012368908,0.0,0.4109119012368908,3.175961648359807
customer_arrival,13,253.3998986829057,0.0,-0.189738997842232,-0.189738997842232,2.986222650517575
failure,13,255.23271277053618,0.5223476432882688,-2.25,-1.7276523567117312,1.2585702938058438
customer_arrival,14,257.2309337296072,0.0,-0.03996441918142018,-0.03996441918142018,1.2186058746244237
survival,14,262.5144273846372,0.6387463270058824,0.0,0.6387463270058824,1.8573522016303061
customer_arrival,15,264.35276224154586,0.0,-0.036766697138172884,-0.036766697138172884,1.8205855044921333
survival,15,268.50535512096246,0.49028621536577455,0.0,0.49028621536577455,2.310871719857908
customer_arrival,16,270.6892230704993,0.0,-0.04367735899073654,-0.04367735899073654,2.2671943608671716
survival,16,273.58478610189763,0.7965544629564164,0.0,0.7965544629564164,3.063748823823588
customer_arrival,17,274.3595430602121,0.0,-0.015495139166289749,-0.015495139166289749,3.0482536846572983
survival,17,293.7843485735528,0.33178673945378223,0.0,0.33178673945378223,3.3800404241110806
customer_arrival,18,296.13345333990793,0.0,-0.046982095327102374,-0.046982095327102374,3.333058328783978
survival,18,297.704887862178,0.5462925293904511,0.0,0.5462925293904511,3.8793508581744294
customer_arrival,19,308.3873890166397,0.0,-0.21365002308923398,-0.21365002308923398,3.6657008350851954
survival,19,329.7817600266784,0.6078631906670842,0.0,0.6078631906670842,4.27356402575228
customer_arrival,20,332.95496440153636,0.0,-0.06346408749715905,-0.06346408749715905,4.21009993825512
survival,20,341.1673887828551,0.5582525966959154,0.0,0.5582525966959154,4.768352534951036
customer_arrival,21,343.88082246026,0.0,-0.054268673548098424,-0.054268673548098424,4.714083861402937
survival,21,350.01507392149585,0.6354423521718774,0.0,0.6354423521718774,5.349526213574815
customer_arrival,22,361.7219040800259,0.0,-0.23413660317060167,-0.23413660317060167,5.115389610404213
survival,22,367.5818860703163,0.5208888987675353,0.0,0.5208888987675353,5.636278509171748
customer_arrival,23,369.38418727636406,0.0,-0.036046024120955665,-0.036046024120955665,5.6002324850507925
survival,23,369.7853131834604,0.3305926857350057,0.0,0.3305926857350057,5.930825170785798
customer_arrival,24,370.4792712825392,0.0,-0.013879161981575136,-0.013879161981575136,5.916946008804223
failure,24,370.4809688356073,0.4669704939165251,-2.25,-1.7830295060834749,4.133916502720749
customer_arrival,25,374.07448496939105,0.0,-0.07187032267567432,-0.07187032267567432,4.0620461800450745
survival,25,383.7367549988185,0.6658087380153213,0.0,0.6658087380153213,4.7278549180603955
customer_arrival,26,391.3529734878626,0.0,-0.15232436978088093,-0.15232436978088093,4.575530548279515
survival,26,410.1143991262363,0.6502929876218859,0.0,0.6502929876218859,5.225823535901401
customer_arrival,27,410.7552539479719,0.0,-0.012817096434710708,-0.012817096434710708,5.21300643946669
survival,27,416.70865636926516,0.6173743889677789,0.0,0.6173743889677789,5.8303808284344685
customer_arrival,28,418.9740561770094,0.0,-0.04530799615488532,-0.04530799615488532,5.7850728322795835
survival,28,419.5432438545309,0.35291298719190156,0.0,0.35291298719190156,6.137985819471485
customer_arrival,29,424.1313872520441,0.0,-0.0917628679502637,-0.0917628679502637,6.046222951521221
survival,29,424.47865960858144,0.4731510432305518,0.0,0.4731510432305518,6.519373994751773
customer_arrival,30,438.66067318987217,0.0,-0.2836402716258148,-0.2836402716258148,6.235733723125959
survival,30,438.9575862035237,0.7045302379826894,0.0,0.7045302379826894,6.9402639611086485
customer_arrival,31,438.9820650879647,0.0,-0.0004895776888201609,-0.0004895776888201609,6.939774383419828
survival,31,442.61009036837106,0.7968297265050516,0.0,0.7968297265050516,7.73660410992488
customer_arrival,32,442.6755507623047,0.0,-0.0013092078786725275,-0.0013092078786725275,7.735294902046207
survival,32,445.5257341639021,0.1351067236692156,0.0,0.1351067236692156,7.870401625715423
customer_arrival,33,447.6910128001978,0.0,-0.04330557272591495,-0.04330557272591495,7.827096052989508
survival,33,449.2704679025163,0.2656988325129638,0.0,0.2656988325129638,8.092794885502471
customer_arrival,34,457.76187726126096,0.0,-0.16982818717489345,-0.16982818717489345,7.922966698327578
survival,34,459.5611539999678,0.4041457313162661,0.0,0.4041457313162661,8.327112429643844
customer_arrival,35,459.66669372261407,0.0,-0.002110794452925428,-0.002110794452925428,8.325001635190919
failure,35,464.3183744132543,0.5059924165628177,-2.25,-1.7440075834371824,6.580994051753736
customer_arrival,36,482.3598199397696,0.0,-0.3608289105303064,-0.3608289105303064,6.220165141223429
survival,36,485.0742316270931,0.30539594940080544,0.0,0.30539594940080544,6.525561090624235
customer_arrival,37,487.3881621806862,0.0,-0.04627861107186205,-0.04627861107186205,6.4792824795523725
